10y,20y,30y,40y,50y,60y,70y,80y,90y,100y
2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1216.166667,1393.166667,1481.166667,1580.166667,1600.166667,1600.166667,1600.166667,1600.166667,1600.166667,1600.166667
1089.166667,1089.166667,1089.166667,1089.166667,1089.166667,1089.166667,1089.166667,1089.166667,1089.166667,1089.166667
1175.166667,1313.166667,1464.166667,1662.166667,1839.166667,1940.166667,1950.166667,1950.166667,1950.166667,1950.166667
1127.166667,1166.166667,1189.166667,1227.166667,1264.166667,1300.166667,1334.166667,1365.166667,1394.166667,1419.166667
989.1666667,989.1666667,989.1666667,989.1666667,989.1666667,989.1666667,989.1666667,989.1666667,989.1666667,989.1666667
1193.166667,1277.166667,1350.166667,1439.166667,1526.166667,1603.166667,1666.166667,1708.166667,1725.166667,1725.166667
1053.166667,1054.166667,2012.166667,2014.166667,2015.166667,2015.166667,2015.166667,2015.166667,2015.166667,2015.166667
1808.166667,1808.166667,1808.166667,1808.166667,1808.166667,1808.166667,1808.166667,1808.166667,1808.166667,1808.166667
1030.166667,1030.166667,2107.166667,2107.166667,2107.166667,2107.166667,2107.166667,2107.166667,2107.166667,2107.166667
1218.166667,1245.166667,1263.166667,1294.166667,1327.166667,1363.166667,1398.166667,1433.166667,1466.166667,1496.166667
1090.166667,1090.166667,1090.166667,1090.166667,1090.166667,1090.166667,1090.166667,1090.166667,1090.166667,1090.166667
1069.166667,1236.166667,1366.166667,1503.166667,1615.166667,1692.166667,1729.166667,1732.166667,1732.166667,1732.166667
1134.166667,1169.166667,1190.166667,1225.166667,1260.166667,1294.166667,1326.166667,1356.166667,1383.166667,1406.166667
968.1666667,968.1666667,968.1666667,968.1666667,968.1666667,968.1666667,968.1666667,968.1666667,968.1666667,968.1666667
1491.166667,1491.166667,1491.166667,1491.166667,1491.166667,1491.166667,1491.166667,1491.166667,1981.166667,2026.166667
1815.166667,1815.166667,1815.166667,1815.166667,1815.166667,1815.166667,1815.166667,1815.166667,1815.166667,1815.166667
2382.166667,2522.166667,2522.166667,2522.166667,2522.166667,2522.166667,2531.166667,2531.166667,2531.166667,2531.166667
2516.166667,2516.166667,2516.166667,2516.166667,2516.166667,2516.166667,2516.166667,2516.166667,2516.166667,2516.166667
1015.166667,1134.166667,1202.166667,1307.166667,1394.166667,1453.166667,1478.166667,1479.166667,1479.166667,1479.166667
1011.166667,1011.166667,1011.166667,1011.166667,1011.166667,1011.166667,1011.166667,1011.166667,1011.166667,1011.166667
1087.166667,1271.166667,1416.166667,1570.166667,1695.166667,1778.166667,1812.166667,1813.166667,1813.166667,1813.166667
1192.166667,1258.166667,1297.166667,1363.166667,1429.166667,1493.166667,1554.166667,1611.166667,1662.166667,1708.166667
1067.166667,1067.166667,1067.166667,1067.166667,1067.166667,1067.166667,1067.166667,1067.166667,1067.166667,1067.166667
1286.166667,1334.166667,1386.166667,1464.166667,1559.166667,1662.166667,1761.166667,1841.166667,1888.166667,1895.166667
1429.166667,1429.166667,2239.166667,2239.166667,2239.166667,2239.166667,2239.166667,2239.166667,2239.166667,2239.166667
1237.166667,2181.166667,2181.166667,2181.166667,2181.166667,2181.166667,2181.166667,2181.166667,2181.166667,2181.166667
2298.166667,2313.166667,2322.166667,2331.166667,2337.166667,2340.166667,2341.166667,2341.166667,2341.166667,2341.166667
1283.166667,1372.166667,1425.166667,1512.166667,1593.166667,1661.166667,1711.166667,1739.166667,1744.166667,1744.166667
1154.166667,1154.166667,1154.166667,1154.166667,1154.166667,1154.166667,1154.166667,1154.166667,1154.166667,1154.166667
1268.166667,1423.166667,1514.166667,1571.166667,1577.166667,1708.166667,1959.166667,1960.166667,1960.166667,1960.166667
1121.166667,1177.166667,1210.166667,1267.166667,1324.166667,1380.166667,1434.166667,1486.166667,1533.166667,1575.166667
1005.166667,1005.166667,1005.166667,1005.166667,1005.166667,1005.166667,1005.166667,1005.166667,1005.166667,1005.166667
1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,2037.166667
2109.166667,2109.166667,2109.166667,2109.166667,2109.166667,2109.166667,2109.166667,2109.166667,2109.166667,2109.166667
1788.166667,1839.166667,1839.166667,1839.166667,1839.166667,1839.166667,1847.166667,1856.166667,1865.166667,1874.166667
2171.166667,2171.166667,2171.166667,2171.166667,2171.166667,2171.166667,2171.166667,2171.166667,2171.166667,2171.166667
1212.166667,1212.166667,1212.166667,1212.166667,1212.166667,1212.166667,1564.166667,1564.166667,1564.166667,1564.166667
1078.166667,1078.166667,1078.166667,1078.166667,1078.166667,1078.166667,1078.166667,1078.166667,1078.166667,1078.166667
1500.166667,1500.166667,1500.166667,1500.166667,1500.166667,1841.166667,1841.166667,1841.166667,1841.166667,1841.166667
1415.166667,1415.166667,1415.166667,1415.166667,1415.166667,1415.166667,1415.166667,1415.166667,1415.166667,1415.166667
948.1666667,1121.166667,1121.166667,1121.166667,1121.166667,1121.166667,1150.166667,1185.166667,1220.166667,1254.166667
1151.166667,1328.166667,1473.166667,1639.166667,1797.166667,1938.166667,2058.166667,2151.166667,2211.166667,2235.166667
1836.166667,1836.166667,1836.166667,1836.166667,1836.166667,1836.166667,1836.166667,1836.166667,1836.166667,1836.166667
1873.166667,1873.166667,1873.166667,1873.166667,1873.166667,1873.166667,1873.166667,1873.166667,1873.166667,1873.166667
2199.166667,2199.166667,2199.166667,2199.166667,2199.166667,2199.166667,2199.166667,2199.166667,2199.166667,2199.166667
1198.166667,1282.166667,1328.166667,1398.166667,1454.166667,1493.166667,1511.166667,1512.166667,1512.166667,1512.166667
1059.166667,1059.166667,1059.166667,1059.166667,1059.166667,1059.166667,1059.166667,1059.166667,1059.166667,1059.166667
1550.166667,1672.166667,1777.166667,1893.166667,1992.166667,2058.166667,2083.166667,2083.166667,2083.166667,2083.166667
720.1666667,1560.166667,1819.166667,1820.166667,1820.166667,1820.166667,1820.166667,1820.166667,1820.166667,1820.166667
1258.166667,1297.166667,1297.166667,1297.166667,1297.166667,1297.166667,1305.166667,1314.166667,1324.166667,1334.166667
1448.166667,1596.166667,1719.166667,1858.166667,1980.166667,2073.166667,2126.166667,2136.166667,2136.166667,2136.166667
1409.166667,1409.166667,1409.166667,1409.166667,1409.166667,1409.166667,1409.166667,2531.166667,2531.166667,2531.166667
1071.166667,1137.166667,1137.166667,1137.166667,1137.166667,1137.166667,1239.166667,1495.166667,1948.166667,2531.166667
2476.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
2182.166667,2200.166667,2200.166667,2200.166667,2200.166667,2200.166667,2200.166667,2200.166667,2200.166667,2531.166667
1135.166667,1199.166667,1199.166667,1199.166667,1199.166667,1199.166667,1367.166667,1806.166667,2292.166667,2386.166667
2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1610.166667,1705.166667,1762.166667,1859.166667,1952.166667,2032.166667,2093.166667,2130.166667,2140.166667,2140.166667
1561.166667,1565.166667,1565.166667,1565.166667,1565.166667,1565.166667,1565.166667,1565.166667,1565.166667,1565.166667
1772.166667,1833.166667,1879.166667,1926.166667,1965.166667,1993.166667,2009.166667,2012.166667,2012.166667,2012.166667
1655.166667,1655.166667,2056.166667,2056.166667,2056.166667,2056.166667,2056.166667,2056.166667,2483.166667,2531.166667
1126.166667,1727.166667,1727.166667,1727.166667,1727.166667,1727.166667,1821.166667,1926.166667,2022.166667,2105.166667
